trade_key,rule_type,ticker,symbol,timeframe,watchlist,side,entry_signal,entry_time_et,entry_time_ms,entry_price,exit_signal,exit_time_et,exit_time_ms,exit_price,qty,position_value,bars_held,pnl_usd,pnl_pct,mfe_usd,mfe_pct,mae_usd,mae_pct,commission,logged_at
pyr25|QTUM|1d|1741185000000|1747143000000,pyr25,QTUM,NASDAQ:QTUM,1d,Swing 1D,LONG,Swing Low,2025-03-05 09:30,1741185000000,78.36,Flip Short,2025-05-13 09:30,1747143000000,82.91,102,7992.72,48,447.65,5.5951,527.51,6.5933,1605.31,20.0646,16.45,2026-07-25T15:03:34.320Z
pyr25|QTUM|1d|1763994600000|1765463400000,pyr25,QTUM,NASDAQ:QTUM,1d,Swing 1D,LONG,Swing Low,2025-11-24 09:30,1763994600000,102.07,Flip Short,2025-12-11 09:30,1765463400000,114.4,81,8267.67,12,981.2,11.856,1111.96,13.4361,8.27,0.0999,17.53,2026-07-25T15:03:34.320Z
pyr25|QTUM|1d|1773063000000|1776259800000,pyr25,QTUM,NASDAQ:QTUM,1d,Swing 1D,LONG,Swing Low,2026-03-09 09:30,1773063000000,108.02,Flip Short,2026-04-15 09:30,1776259800000,122.43,82,8857.64,26,1162.72,13.1137,1172.76,13.2269,550.88,6.213,18.9,2026-07-25T15:03:34.320Z
pyr25|WTAI|1d|1663939800000|1674570600000,pyr25,WTAI,CBOE:WTAI,1d,Swing 1D,LONG,Swing Low,2022-09-23 09:30,1663939800000,14.47,Flip Short,2023-01-24 09:30,1674570600000,16.16,511,7394.17,82,847.94,11.4562,912.41,12.3272,508.17,6.8658,15.65,2026-07-25T15:03:43.268Z
pyr25|WTAI|1d|1683293400000|1684848600000,pyr25,WTAI,CBOE:WTAI,1d,Swing 1D,LONG,Swing Low,2023-05-05 09:30,1683293400000,16.22,Flip Short,2023-05-23 09:30,1684848600000,17.55,521,8450.62,12,675.34,7.9836,788.68,9.3235,164.75,1.9476,17.59,2026-07-25T15:03:43.268Z
pyr25|WTAI|1d|1692019800000|1700145000000,pyr25,WTAI,CBOE:WTAI,1d,Swing 1D,LONG,Swing Low,2023-08-14 09:30,1692019800000,18,Flip Short,2023-11-16 09:30,1700145000000,18.19,484,8712,67,74.44,0.8536,378.49,4.3401,1102.55,12.6429,17.52,2026-07-25T15:03:43.268Z
pyr25|WTAI|1d|1713187800000|1718371800000,pyr25,WTAI,CBOE:WTAI,1d,Swing 1D,LONG,Swing Low,2024-04-15 09:30,1713187800000,20.1,Flip Short,2024-06-14 09:30,1718371800000,20.65,441,8864.1,43,224.58,2.5311,361.58,4.075,771.79,8.6983,17.97,2026-07-25T15:03:43.268Z
pyr25|WTAI|1d|1722432600000|1728653400000,pyr25,WTAI,CBOE:WTAI,1d,Swing 1D,LONG,Swing Low,2024-07-31 09:30,1722432600000,19.84,Flip Short,2024-10-11 09:30,1728653400000,20.36,466,9245.44,51,223.59,2.4159,279.67,3.022,1421.23,15.3568,18.73,2026-07-25T15:03:43.268Z
pyr25|WTAI|1d|1740753000000|1747229400000,pyr25,WTAI,CBOE:WTAI,1d,Swing 1D,LONG,Swing Low,2025-02-28 09:30,1740753000000,21.18,Flip Short,2025-05-14 09:30,1747229400000,22.27,428,9065.04,52,447.92,4.9363,457.45,5.0413,2328.82,25.6645,18.6,2026-07-25T15:03:43.268Z
pyr25|WTAI|1d|1763994600000|1769610600000,pyr25,WTAI,CBOE:WTAI,1d,Swing 1D,LONG,Swing Low,2025-11-24 09:30,1763994600000,27.88,Flip Short,2026-01-28 09:30,1769610600000,31.42,342,9534.96,43,1190.4,12.4721,1201.14,12.5847,9.53,0.0999,20.28,2026-07-25T15:03:43.268Z
pyr25|WTAI|1d|1772634600000|1776173400000,pyr25,WTAI,CBOE:WTAI,1d,Swing 1D,LONG,Swing Low,2026-03-04 09:30,1772634600000,29.06,Flip Short,2026-04-14 09:30,1776173400000,32.53,361,10490.66,28,1230.44,11.7172,1242.18,11.829,916.6,8.7286,22.23,2026-07-25T15:03:43.268Z
pyr25|FAS|1d|1565875800000|1572355800000,pyr25,FAS,AMEX:FAS,1d,Swing 1D,LONG,Swing Low,2019-08-15 09:30,1565875800000,67,Flip Short,2019-10-29 09:30,1572355800000,81,115,7705,52,1592.98,20.654,1702.35,22.072,128.46,1.6655,17.02,2026-07-25T15:04:01.473Z
pyr25|FAS|1d|1582727400000|1590672600000,pyr25,FAS,AMEX:FAS,1d,Swing 1D,LONG,Swing Low,2020-02-26 09:30,1582727400000,86.08,Flip Short,2020-05-28 09:30,1590672600000,34.5,103,8866.24,64,-5325.16,-60.0011,235.24,2.6506,7407.36,83.4622,12.42,2026-07-25T15:04:01.473Z
pyr25|FAS|1d|1583760600000|1590672600000,pyr25,FAS,AMEX:FAS,1d,Swing 1D,LONG,Pyramid Add,2020-03-09 09:30,1583760600000,49.37,Flip Short,2020-05-28 09:30,1590672600000,34.5,25,1234.25,56,-373.85,-30.2591,77.52,6.2741,879.23,71.1651,2.1,2026-07-25T15:04:01.473Z
pyr25|FAS|1d|1600954200000|1605018600000,pyr25,FAS,AMEX:FAS,1d,Swing 1D,LONG,Swing Low,2020-09-24 09:30,1600954200000,30.61,Flip Short,2020-11-10 09:30,1605018600000,46.9,146,4469.06,33,2367.02,52.9118,2670.25,59.69,141.71,3.1677,11.32,2026-07-25T15:04:01.473Z
pyr25|FAS|1d|1626787800000|1628775000000,pyr25,FAS,AMEX:FAS,1d,Swing 1D,LONG,Swing Low,2021-07-20 09:30,1626787800000,94.85,Flip Short,2021-08-12 09:30,1628775000000,127.19,66,6260.1,17,2119.79,33.828,2128.18,33.962,57.08,0.9109,14.65,2026-07-25T15:04:01.473Z
pyr25|FAS|1d|1640097000000|1641825000000,pyr25,FAS,AMEX:FAS,1d,Swing 1D,LONG,Swing Low,2021-12-21 09:30,1640097000000,120.02,Flip Short,2022-01-10 09:30,1641825000000,151.9,67,8041.34,13,2117.74,26.3094,2127.92,26.4358,10.05,0.1249,18.22,2026-07-25T15:04:01.473Z
pyr25|FAS|1d|1643121000000|1660743000000,pyr25,FAS,AMEX:FAS,1d,Swing 1D,LONG,Swing Low,2022-01-25 09:30,1643121000000,115.93,Flip Short,2022-08-17 09:30,1660743000000,87.93,78,9042.54,141,-2199.9,-24.304,2635.94,29.1213,4658.62,51.4675,15.9,2026-07-25T15:04:01.473Z
pyr25|FAS|1d|1652189400000|1660743000000,pyr25,FAS,AMEX:FAS,1d,Swing 1D,LONG,Pyramid Add,2022-05-10 09:30,1652189400000,80.71,Flip Short,2022-08-17 09:30,1660743000000,87.93,19,1533.49,68,133.98,8.7279,217.54,14.1715,464.94,30.289,3.2,2026-07-25T15:04:01.473Z
pyr25|FAS|1d|1664199000000|1668177000000,pyr25,FAS,AMEX:FAS,1d,Swing 1D,LONG,Swing Low,2022-09-26 09:30,1664199000000,57.1,Flip Short,2022-11-11 09:30,1668177000000,84.99,135,7708.5,34,3745.97,48.5467,3757.44,48.6954,1017.51,13.1866,19.18,2026-07-25T15:04:01.473Z
pyr25|FAS|1d|1678458600000|1688563800000,pyr25,FAS,AMEX:FAS,1d,Swing 1D,LONG,Swing Low,2023-03-10 09:30,1678458600000,64.47,Flip Short,2023-07-05 09:30,1688563800000,63.4,161,10379.67,79,-192.86,-1.8562,519.31,4.9982,2523.59,24.2885,20.59,2026-07-25T15:04:01.473Z
pyr25|FAS|1d|1695735000000|1701095400000,pyr25,FAS,AMEX:FAS,1d,Swing 1D,LONG,Swing Low,2023-09-26 09:30,1695735000000,60.58,Flip Short,2023-11-27 09:30,1701095400000,68.26,171,10359.18,43,1291.25,12.4523,1484.18,14.3129,2036.71,19.6413,22.03,2026-07-25T15:04:01.473Z
pyr25|FAS|1d|1741699800000|1751290200000,pyr25,FAS,AMEX:FAS,1d,Swing 1D,LONG,Swing Low,2025-03-11 09:30,1741699800000,141.61,Flip Short,2025-06-30 09:30,1751290200000,167.2,81,11470.41,76,2047.78,17.8349,2239.52,19.5048,3976.42,34.6321,25.01,2026-07-25T15:04:01.473Z
pyr25|FAS|1d|1744119000000|1751290200000,pyr25,FAS,AMEX:FAS,1d,Swing 1D,LONG,Pyramid Add,2025-04-08 09:30,1744119000000,118.63,Flip Short,2025-06-30 09:30,1751290200000,167.2,20,2372.6,56,965.68,40.6608,974.43,41.029,398.57,16.7822,5.72,2026-07-25T15:04:01.473Z
pyr25|FAS|1d|1760707800000|1766586600000,pyr25,FAS,AMEX:FAS,1d,Swing 1D,LONG,Swing Low,2025-10-17 09:30,1760707800000,157.66,Flip Short,2025-12-24 09:30,1766586600000,175.66,88,13874.08,47,1554.67,11.1944,1617.65,11.6478,848.99,6.1132,29.33,2026-07-25T15:04:01.473Z
pyr25|FAS|1d|1770906600000|1781616600000,pyr25,FAS,AMEX:FAS,1d,Swing 1D,LONG,Swing Low,2026-02-12 09:30,1770906600000,148.5,Flip Short,2026-06-16 09:30,1781616600000,149.87,102,15147,85,109.31,0.7209,156.21,1.0303,4257.33,28.0787,30.43,2026-07-25T15:04:01.473Z
