trade_key,rule_type,ticker,symbol,timeframe,watchlist,side,entry_signal,entry_time_et,entry_time_ms,entry_price,exit_signal,exit_time_et,exit_time_ms,exit_price,qty,position_value,bars_held,pnl_usd,pnl_pct,mfe_usd,mfe_pct,mae_usd,mae_pct,commission,logged_at
flip-only|MSFT|1d|1641565800000|1648647000000,flip-only,MSFT,NASDAQ:MSFT,1d,Swing 1D,LONG,Swing Low,2022-01-07 09:30,1641565800000,314.15,Flip Short,2022-03-30 09:30,1648647000000,313.76,39,12251.85,56,-39.7,-0.3237,348.89,2.8448,1734.1,14.1397,24.49,2026-07-25T00:25:29.265Z
flip-only|MSFT|1d|1663335000000|1669905000000,flip-only,MSFT,NASDAQ:MSFT,1d,Swing 1D,LONG,Swing Low,2022-09-16 09:30,1663335000000,244.26,Flip Short,2022-12-01 09:30,1669905000000,253.87,51,12457.26,53,464.71,3.7267,552.11,4.4276,1584.79,12.7091,25.4,2026-07-25T00:25:29.265Z
flip-only|MSFT|1d|1713879000000|1716384600000,flip-only,MSFT,NASDAQ:MSFT,1d,Swing 1D,LONG,Swing Low,2024-04-23 09:30,1713879000000,404.24,Flip Short,2024-05-22 09:30,1716384600000,430.09,32,12935.68,21,800.5,6.1821,906.42,7.0002,531.66,4.1059,26.7,2026-07-25T00:25:29.265Z
flip-only|MSFT|1d|1722864600000|1733409000000,flip-only,MSFT,NASDAQ:MSFT,1d,Swing 1D,LONG,Swing Low,2024-08-05 09:30,1722864600000,389.17,Flip Short,2024-12-05 09:30,1733409000000,437.92,33,12842.61,86,1581.46,12.3018,1725.6,13.4231,131.31,1.0215,27.29,2026-07-25T00:25:29.265Z
flip-only|MSFT|1d|1738679400000|1746192600000,flip-only,MSFT,NASDAQ:MSFT,1d,Swing 1D,LONG,Swing Low,2025-02-04 09:30,1738679400000,412.69,Flip Short,2025-05-02 09:30,1746192600000,431.74,37,15269.53,61,673.61,4.407,883.83,5.7824,2527.57,16.5365,31.24,2026-07-25T00:25:29.265Z
flip-only|MSFT|1d|1763562600000|1776691800000,flip-only,MSFT,NASDAQ:MSFT,1d,Swing 1D,LONG,Swing Low,2025-11-19 09:30,1763562600000,490.1,Flip Short,2026-04-20 09:30,1776691800000,421.15,32,15683.2,102,-2235.56,-14.2402,147.2,0.9376,4297.92,27.3773,29.16,2026-07-25T00:25:29.265Z
flip-only|DXYZ|1d|1740493800000|1748352600000,flip-only,DXYZ,NYSE:DXYZ,1d,Swing 1D,LONG,Swing Low,2025-02-25 09:30,1740493800000,44.02,Flip Short,2025-05-27 09:30,1748352600000,49.09,223,9816.46,63,1109.85,11.2947,1120.79,11.4061,4208.91,42.8332,20.76,2026-07-25T00:26:46.449Z
flip-only|TSLA|1d|1548340200000|1563456600000,flip-only,TSLA,NASDAQ:TSLA,1d,Swing 1D,LONG,Swing Low,2019-01-24 09:30,1548340200000,18.87,Flip Short,2019-07-18 09:30,1563456600000,17,521,9831.27,121,-992.96,-10.0899,1422.92,14.4589,3693.3,37.5294,18.69,2026-07-25T00:28:26.291Z
flip-only|TSLA|1d|1584538200000|1591104600000,flip-only,TSLA,NASDAQ:TSLA,1d,Swing 1D,LONG,Swing Low,2020-03-18 09:30,1584538200000,25.93,Flip Short,2020-06-02 09:30,1591104600000,59.65,313,8116.09,52,10527.57,129.5828,10633.88,130.8914,809.4,9.9628,26.79,2026-07-25T00:28:26.291Z
flip-only|TSLA|1d|1643121000000|1648560600000,flip-only,TSLA,NASDAQ:TSLA,1d,Swing 1D,LONG,Swing Low,2022-01-25 09:30,1643121000000,304.73,Flip Short,2022-03-29 09:30,1648560600000,369.33,62,18893.26,44,3963.41,20.9569,3986.31,21.078,4445.69,23.5071,41.79,2026-07-25T00:28:26.291Z
flip-only|TSLA|1d|1652362200000|1658755800000,flip-only,TSLA,NASDAQ:TSLA,1d,Swing 1D,LONG,Swing Low,2022-05-12 09:30,1652362200000,233.67,Flip Short,2022-07-25 09:30,1658755800000,272.22,95,22198.65,49,3614.19,16.2649,4454.2,20.0451,2569.15,11.5619,48.06,2026-07-25T00:28:26.291Z
flip-only|TSLA|1d|1692365400000|1703773800000,flip-only,TSLA,NASDAQ:TSLA,1d,Swing 1D,LONG,Swing Low,2023-08-18 09:30,1692365400000,214.12,Flip Short,2023-12-28 09:30,1703773800000,263.66,123,26336.76,91,6034.65,22.8905,7951.44,30.1613,2492.49,9.4545,58.77,2026-07-25T00:28:26.291Z
